feature_set,model,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,brier_mean,brier_std,balanced_accuracy_mean,balanced_accuracy_std,n_eval
G_mean_ai,random_forest,0.7325980392156863,0.09135374154677355,0.9093615449417901,0.03700330413031725,0.18141071682374957,0.03371409088674179,0.6221127450980393,0.11370496601875739,50
B_sum_mean_ai,random_forest,0.723469362745098,0.09201662559864385,0.9061384585037411,0.037943667220829334,0.18350451565402284,0.034739910389648895,0.6024828431372549,0.11165037419974545,50
E_ratio_only,random_forest,0.7210490196078432,0.10132104798243377,0.8968465383151633,0.04520258673174481,0.18929429121101593,0.027884724343662168,0.6304705882352941,0.09355338277414198,50
B_sum_mean_ai,lr_en,0.719406862745098,0.09969504975222998,0.8997747754523661,0.04621290838464463,0.22115829927306863,0.02459788218872247,0.6896593137254903,0.0943656387111362,50
G_mean_ai,lr_en,0.7186764705882352,0.09832987313964713,0.8991431969225622,0.04634761372790703,0.2236994009910017,0.02096728723597906,0.6886813725490196,0.09128867347400889,50
C_ai_only,random_forest,0.7160294117647059,0.09998756471870193,0.8942809527976763,0.04448066505161818,0.1896196171482909,0.027308436771713948,0.6320686274509804,0.09589933586384257,50
F_combined_acde,random_forest,0.7127426470588234,0.09498370599815742,0.895476130466794,0.04443451169032606,0.18198294673200202,0.02953309091421035,0.6046838235294117,0.09659160754565284,50
A_raw_lr,random_forest,0.7115477941176471,0.09222884416386416,0.8929922870569641,0.04387180197982404,0.18275718640262378,0.030421651476122278,0.5972401960784314,0.11840206995271343,50
B_sum_mean_ai,xgboost,0.6984705882352941,0.099918645285266,0.8955859425132515,0.043207881676308346,0.20710659682750698,0.04638707039194112,0.624061274509804,0.09878658464672031,50
G_mean_ai,xgboost,0.6984705882352941,0.099918645285266,0.8955859425132515,0.043207881676308346,0.20710659682750698,0.04638707039194112,0.624061274509804,0.09878658464672031,50
F_combined_acde,lr_en,0.690049019607843,0.095731630651831,0.8860186909544183,0.0463505189810427,0.2364246953593597,0.030060544848045618,0.6394950980392157,0.09629289218471354,50
A_raw_lr,lr_en,0.6777254901960784,0.10539107665768771,0.8777297954179143,0.05451731112754802,0.23765058713031476,0.04417309400092872,0.6396642156862745,0.09433597608202005,50
E_ratio_only,xgboost,0.6575220588235294,0.1067541075680735,0.8588382405595131,0.057668103479361174,0.21973422825336453,0.03792467634486413,0.6277990196078431,0.10654573589191822,50
A_raw_lr,xgboost,0.6469632352941177,0.09475641060319319,0.86394127065344,0.05139419317293497,0.22158783495426174,0.04682894447383278,0.5820808823529411,0.10938980930529141,50
C_ai_only,xgboost,0.6439497549019607,0.10219628784465527,0.8544822886268842,0.06020681593005159,0.22641138494014737,0.03500615758397043,0.6225122549019608,0.10287139947422148,50
F_combined_acde,xgboost,0.6373799019607843,0.08753326850500581,0.8553150394787459,0.05094284782886257,0.22109292775392528,0.03822579275487234,0.6012892156862745,0.09606793310501278,50
D_diff_only,random_forest,0.6217401960784313,0.10639409059415982,0.8454379618241097,0.05378818086792426,0.20016880361465994,0.027168896835307335,0.5634901960784313,0.10001793093307154,50
D_diff_only,xgboost,0.581031862745098,0.11154340682981537,0.8208909437775457,0.06444296010434904,0.22937845259904857,0.04003531554034834,0.5637720588235294,0.09602660422624026,50
D_diff_only,lr_en,0.5151348039215686,0.0892077268635838,0.796755452456228,0.04750056397850969,0.2720969406811066,0.04315158568713948,0.5221151960784314,0.10157880213232794,50
E_ratio_only,lr_en,0.4721666666666667,0.08187305411171703,0.7652344555421358,0.05292633183920052,0.27818235620818066,0.04190912304140275,0.4825220588235294,0.07619779277674427,50
C_ai_only,lr_en,0.45191176470588235,0.07018354139660996,0.760245167012184,0.02975019975291419,0.2748323757063824,0.04084631038392175,0.46587254901960784,0.06643321543890002,50
